AKT1	AKT serine/threonine kinase 1
RLN3	relaxin 3
TPCN2	two pore segment channel 2
NEGR1	neuronal growth regulator 1
GSTK1	glutathione S-transferase kappa 1
ENHO	energy homeostasis associated
MAFA	MAF bZIP transcription factor A
MIR30D	microRNA 30d
hsa-mir-30d
CISD2	CDGSH iron sulfur domain 2
GGT2	gamma-glutamyltransferase 2
ARF5	ADP ribosylation factor 5
ASCL2	achaete-scute family bHLH transcription factor 2
ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
CLPS	colipase
EIF4A2	eukaryotic translation initiation factor 4A2
GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit
GPD1	glycerol-3-phosphate dehydrogenase 1
GPD2	glycerol-3-phosphate dehydrogenase 2
PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial
PPP1R3A	protein phosphatase 1 regulatory subunit 3A
PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3
RAB5B	RAB5B, member RAS oncogene family
TADA2A	transcriptional adaptor 2A
API5	apoptosis inhibitor 5
SOX13	SRY-box 13
PRDM5	PR/SET domain 5
MED4	mediator complex subunit 4
ATP6V1H	ATPase H+ transporting V1 subunit H
CPSF2	cleavage and polyadenylation specific factor 2
BNC2	basonuclin 2
RBM38	RNA binding motif protein 38
DOK5	docking protein 5
ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2
CCNL1	cyclin L1
RHOU	ras homolog family member U
TNMD	tenomodulin
PTGES2	prostaglandin E synthase 2
NUAK2	NUAK family kinase 2
KIAA1109	KIAA1109
TAGAP	T-cell activation RhoGTPase activating protein
GPR119	G protein-coupled receptor 119
NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7
MIR101-2	microRNA 101-2
hsa-mir-101-2
MIR9-2	microRNA 9-2
MIR9-3	microRNA 9-3
MIR370	microRNA 370
MIR486-1	microRNA 486-1
microRNA 486
ATP4A	ATPase H+/K+ transporting alpha subunit
CETN3	centrin 3
CEACAM8	carcinoembryonic antigen related cell adhesion molecule 8
CLCNKA	chloride voltage-gated channel Ka
COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor
DGKB	diacylglycerol kinase beta
DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
CELA1	chymotrypsin like elastase family member 1
ENSA	endosulfine alpha
FFAR3	free fatty acid receptor 3
KCNJ15	potassium voltage-gated channel subfamily J member 15
AFF3	AF4/FMR2 family member 3
MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
NDUFA9	NADH:ubiquinone oxidoreductase subunit A9
NDUFB6	NADH:ubiquinone oxidoreductase subunit B6
NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8
NKX2-2	NK2 homeobox 2
PF4V1	platelet factor 4 variant 1
POU5F1B	POU class 5 homeobox 1B
This gene is named as a pseudogene but may be a protein coding gene as a transcript has been shown to encode a protein which can function as a transcription factor (PMID: 18949397). [03 Mar 2009]
SLC5A3	solute carrier family 5 member 3
SLC6A12	solute carrier family 6 member 12
TLE3	transducin like enhancer of split 3
TLE4	transducin like enhancer of split 4
TNP2	transition protein 2
CLTCL1	clathrin heavy chain like 1
ATRN	attractin
CDC123	cell division cycle 123
SKAP2	src kinase associated phosphoprotein 2
GAL3ST1	galactose-3-O-sulfotransferase 1
LPIN2	lipin 2
TOX	thymocyte selection associated high mobility group box
BTN2A1	butyrophilin subfamily 2 member A1
DUSP12	dual specificity phosphatase 12
RPH3A	rabphilin 3A
PASK	PAS domain containing serine/threonine kinase
SULT4A1	sulfotransferase family 4A member 1
TRPM5	transient receptor potential cation channel subfamily M member 5
TFB1M	transcription factor B1, mitochondrial
SIAE	sialic acid acetylesterase
GAR1	GAR1 ribonucleoprotein
TMEM27	transmembrane protein 27
LRRC7	leucine rich repeat containing 7
GALNT14	polypeptide N-acetylgalactosaminyltransferase 14
BBS10	Bardet-Biedl syndrome 10
DCAF17	DDB1 and CUL4 associated factor 17
ANGPTL6	angiopoietin like 6
GLCCI1	glucocorticoid induced 1
SORCS1	sortilin related VPS10 domain containing receptor 1
C1QTNF1	C1q and TNF related 1
SLC26A9	solute carrier family 26 member 9
ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
GLIS3	GLIS family zinc finger 3
TET3	tet methylcytosine dioxygenase 3
PTF1A	pancreas specific transcription factor, 1a
AQP11	aquaporin 11
ZFP57	ZFP57 zinc finger protein
QRFP	pyroglutamylated RFamide peptide
CENPW	centromere protein W
MIR410	microRNA 410
ARHGAP4	Rho GTPase activating protein 4
DUSP9	dual specificity phosphatase 9
FADS3	fatty acid desaturase 3
LMO7	LIM domain 7
NDUFA10	NADH:ubiquinone oxidoreductase subunit A10
NKX6-1	NK6 homeobox 1
SSR1	signal sequence receptor subunit 1
TLL1	tolloid like 1
SLMAP	sarcolemma associated protein
KLF7	Kruppel like factor 7
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3
IP6K1	inositol hexakisphosphate kinase 1
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5
PDZRN3	PDZ domain containing ring finger 3
PPRC1	peroxisome proliferator-activated receptor gamma, coactivator-related 1
RAB38	RAB38, member RAS oncogene family
GCA	grancalcin
CPVL	carboxypeptidase, vitellogenic like
LARP6	La ribonucleoprotein domain family member 6
GIMAP5	GTPase, IMAP family member 5
CNDP2	carnosine dipeptidase 2
SUCNR1	succinate receptor 1
CPA6	carboxypeptidase A6
KIF17	kinesin family member 17
USP36	ubiquitin specific peptidase 36
PLEKHA1	pleckstrin homology domain containing A1
ELOVL6	ELOVL fatty acid elongase 6
PPP1R3B	protein phosphatase 1 regulatory subunit 3B
ALPK1	alpha kinase 1
CMIP	c-Maf inducing protein
COLEC12	collectin subfamily member 12
KLF14	Kruppel like factor 14
GSC	goosecoid homeobox
NRG4	neuregulin 4
AGR3	anterior gradient 3, protein disulphide isomerase family member
WDR72	WD repeat domain 72
MBOAT4	membrane bound O-acyltransferase domain containing 4
INS-IGF2	INS-IGF2 readthrough
AP3S1	adaptor related protein complex 3 sigma 1 subunit
COX15	COX15, cytochrome c oxidase assembly homolog
GAS2	growth arrest specific 2
ALDH6A1	aldehyde dehydrogenase 6 family member A1
NDUFA2	NADH:ubiquinone oxidoreductase subunit A2
RBMS1	RNA binding motif single stranded interacting protein 1
SLC6A13	solute carrier family 6 member 13
TCF19	transcription factor 19
GLRA3	glycine receptor alpha 3
MAEA	macrophage erythroblast attacher
NSA2	NSA2, ribosome biogenesis homolog
SPON2	spondin 2
TIMM44	translocase of inner mitochondrial membrane 44
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
BHMT2	betaine--homocysteine S-methyltransferase 2
TENM4	teneurin transmembrane protein 4
TAF5L	TATA-box binding protein associated factor 5 like
DMGDH	dimethylglycine dehydrogenase
IER3IP1	immediate early response 3 interacting protein 1
GPRC5B	G protein-coupled receptor class C group 5 member B
IL20RA	interleukin 20 receptor subunit alpha
UGT1A5	UDP glucuronosyltransferase family 1 member A5
SLC6A20	solute carrier family 6 member 20
MARCH1	membrane associated ring-CH-type finger 1
KIRREL	kin of IRRE like (Drosophila)
PHF10	PHD finger protein 10
SIRPG	signal regulatory protein gamma
FOXRED1	FAD dependent oxidoreductase domain containing 1
MIOX	myo-inositol oxygenase
NDUFA12	NADH:ubiquinone oxidoreductase subunit A12
HYMAI	hydatidiform mole associated and imprinted (non-protein coding)
WDR19	WD repeat domain 19
TP53INP2	tumor protein p53 inducible nuclear protein 2
SH2D4A	SH2 domain containing 4A
CLSTN2	calsyntenin 2
CENPO	centromere protein O
GCC1	GRIP and coiled-coil domain containing 1
SPAG16	sperm associated antigen 16
SUV39H2	suppressor of variegation 3-9 homolog 2
RIN3	Ras and Rab interactor 3
SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
HKDC1	hexokinase domain containing 1
CYB5B	cytochrome b5 type B
ADPGK	ADP dependent glucokinase
KIRREL2	kin of IRRE like 2 (Drosophila)
PPP1R15B	protein phosphatase 1 regulatory subunit 15B
KCNK17	potassium two pore domain channel subfamily K member 17
ESAM	endothelial cell adhesion molecule
PLXNA4	plexin A4
NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2
GORAB	golgin, RAB6 interacting
DNER	delta/notch like EGF repeat containing
LYPLAL1	lysophospholipase like 1
LINGO2	leucine rich repeat and Ig domain containing 2
RFX6	regulatory factor X6
RD3	retinal degeneration 3
PLIN5	perilipin 5
PLS1	plastin 1
RNF6	ring finger protein 6
RNF10	ring finger protein 10
EXOG	exo/endonuclease G
AP3S2	adaptor related protein complex 3 sigma 2 subunit
PRSS16	protease, serine 16
HMG20A	high mobility group 20A
COLEC10	collectin subfamily member 10
PHTF1	putative homeodomain transcription factor 1
AKAP2	A-kinase anchoring protein 2
KLHL2	kelch like family member 2
COBL	cordon-bleu WH2 repeat protein
PSD3	pleckstrin and Sec7 domain containing 3
SH3BP4	SH3 domain binding protein 4
PITPNC1	phosphatidylinositol transfer protein, cytoplasmic 1
HUNK	hormonally up-regulated Neu-associated kinase
CYB5R4	cytochrome b5 reductase 4
IGF2-AS	IGF2 antisense RNA
IGF2 antisense RNA 1 (non-protein coding)	PEG8/IGF2AS, imprinting	insulin-like growth factor 2 antisense 1 (non-protein coding)	insulin-like growth factor II, antisense
PEX5L	peroxisomal biogenesis factor 5 like
VPS13C	vacuolar protein sorting 13 homolog C
MCTP2	multiple C2 and transmembrane domain containing 2
KLHL1	kelch like family member 1
NXN	nucleoredoxin
IKZF4	IKAROS family zinc finger 4
ENGASE	endo-beta-N-acetylglucosaminidase
NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
LPAL2	lipoprotein(a) like 2, pseudogene
apolipoprotein (a) related gene C	apolipoprotein A-II	lipoprotein, Lp(a)-like 2, pseudogene
CDCA7	cell division cycle associated 7
USMG5	up-regulated during skeletal muscle growth 5 homolog (mouse)
ARHGAP18	Rho GTPase activating protein 18
C1QTNF6	C1q and TNF related 6
SLC24A4	solute carrier family 24 member 4
ADAD1	adenosine deaminase domain containing 1
NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6
GPAT4	glycerol-3-phosphate acyltransferase 4
GAB3	GRB2 associated binding protein 3
FRMD3	FERM domain containing 3
HECTD4	HECT domain E3 ubiquitin protein ligase 4
C1QTNF9	C1q and TNF related 9
RNASEK	ribonuclease K
IDDM8	insulin dependent diabetes mellitus 8
IDDM9	insulin dependent diabetes mellitus 9
KLRC3	killer cell lectin like receptor C3
MPP2	membrane palmitoylated protein 2
RBMS2	RNA binding motif single stranded interacting protein 2
STAC	SH3 and cysteine rich domain
TCTE3	t-complex-associated-testis-expressed 3
BARX2	BARX homeobox 2
IDDM17	insulin dependent diabetes mellitus 17
PHACTR2	phosphatase and actin regulator 2
RAPGEF5	Rap guanine nucleotide exchange factor 5
GFPT2	glutamine-fructose-6-phosphate transaminase 2
TSHZ1	teashirt zinc finger homeobox 1
MPHOSPH9	M-phase phosphoprotein 9
MRPS31	mitochondrial ribosomal protein S31
IRX5	iroquois homeobox 5
ADAM30	ADAM metallopeptidase domain 30
EFR3B	EFR3 homolog B
MORC1	MORC family CW-type zinc finger 1
DEXI	Dexi homolog
DNAJC27	DnaJ heat shock protein family (Hsp40) member C27
SNX7	sorting nexin 7
ZFAND6	zinc finger AN1-type containing 6
PCDH18	protocadherin 18
ARL15	ADP ribosylation factor like GTPase 15
GPATCH2	G-patch domain containing 2
SLC25A36	solute carrier family 25 member 36
GSDMC	gasdermin C
PARP11	poly(ADP-ribose) polymerase family member 11
SLC39A10	solute carrier family 39 member 10
ZFAND3	zinc finger AN1-type containing 3
SLC22A23	solute carrier family 22 member 23
IRX3	iroquois homeobox 3
ACAD10	acyl-CoA dehydrogenase family member 10
KCNK16	potassium two pore domain channel subfamily K member 16
PCBD2	pterin-4 alpha-carbinolamine dehydratase 2
COQ5	coenzyme Q5, methyltransferase
TMEM175	transmembrane protein 175
ZBED3	zinc finger BED-type containing 3
ZNRF1	zinc and ring finger 1
FAM58A	family with sequence similarity 58 member A
CAPN13	calpain 13
TRMT10A	tRNA methyltransferase 10A
AGBL1	ATP/GTP binding protein like 1
C2CD4A	C2 calcium dependent domain containing 4A
DNAH10	dynein axonemal heavy chain 10
PAOX	polyamine oxidase
UTS2B	urotensin 2B
SVIP	small VCP interacting protein
OFCC1	orofacial cleft 1 candidate 1
HS6ST3	heparan sulfate 6-O-sulfotransferase 3
COX18	COX18, cytochrome c oxidase assembly factor
VWA2	von Willebrand factor A domain containing 2
RTL1	retrotransposon Gag like 1
C2CD4B	C2 calcium dependent domain containing 4B
C1QTNF12	C1q and TNF related 12
AGMO	alkylglycerol monooxygenase
SNX19	sorting nexin 19
MIR802	microRNA 802
IDDM4	insulin dependent diabetes mellitus 4
IDDM6	insulin dependent diabetes mellitus 6
IDDM7	insulin dependent diabetes mellitus 7
IDDM15	insulin dependent diabetes mellitus 15
TSC22D2	TSC22 domain family member 2
SGSM2	small G protein signaling modulator 2
MCF2L2	MCF.2 cell line derived transforming sequence-like 2
TRBV20-1	T cell receptor beta variable 20-1
V_segment translation product
INTS8	integrator complex subunit 8
LRP2BP	LRP2 binding protein
RALGAPA2	Ral GTPase activating protein catalytic alpha subunit 2
ZNF608	zinc finger protein 608
PRM3	protamine 3
DHX35	DEAH-box helicase 35
ZMAT4	zinc finger matrin-type 4
TMEM163	transmembrane protein 163
FAM120B	family with sequence similarity 120B
INSM2	INSM transcriptional repressor 2
KLHL22	kelch like family member 22
SNX29	sorting nexin 29
PALM2	paralemmin 2
KLHL29	kelch like family member 29
FAT3	FAT atypical cadherin 3
TMEM45B	transmembrane protein 45B
FITM2	fat storage inducing transmembrane protein 2
ZPLD1	zona pellucida like domain containing 1
DNAH2	dynein axonemal heavy chain 2
SLC16A11	solute carrier family 16 member 11
COX7B2	cytochrome c oxidase subunit 7B2
ANKRD23	ankyrin repeat domain 23
WDR27	WD repeat domain 27
AKNAD1	AKNA domain containing 1
SLC9C1	solute carrier family 9 member C1
C6orf120	chromosome 6 open reading frame 120
ACP7	acid phosphatase 7, tartrate resistant (putative)
MIR661	microRNA 661
HSFX1	heat shock transcription factor family, X-linked 1
FECHP1	ferrochelatase pseudogene 1
ferrochelatase (protoporphyria) pseudogene
IDDM3	insulin dependent diabetes mellitus 3
IDDM11	insulin dependent diabetes mellitus 11
IDDM13	insulin dependent diabetes mellitus 13
IDDM14	insulin dependent diabetes mellitus 14
IDDM16	insulin dependent diabetes mellitus 16
NIDDM1	non insulin dependent diabetes mellitus 1
non-insulin-dependent diabetes mellitus (common, type 2) 1	type 2 diabetes 1
NIDDM2	non insulin dependent diabetes mellitus 2
non-insulin-dependent diabetes mellitus (common, type 2) 2	type 2 diabetes 2
HMGB1P1	high mobility group box 1 pseudogene 1
high-mobility group (nonhistone chromosomal) protein 1-like 1	high-mobility group box 1-like 1
TRBV7-8	T cell receptor beta variable 7-8
V_segment translation product
only annotated on alternate loci in reference assembly
MBL3P	mannose-binding lectin family member 3, pseudogene
collectin sub-family member 2
IDDM18	insulin dependent diabetes mellitus 18
HERPUD2	HERPUD family member 2
PCNX2	pecanex homolog 2 (Drosophila)
OR12D3	olfactory receptor family 12 subfamily D member 3
HPDL	4-hydroxyphenylpyruvate dioxygenase like
SLC44A3	solute carrier family 44 member 3
ZNF648	zinc finger protein 648
CAPSL	calcyphosine like
SDHAF4	succinate dehydrogenase complex assembly factor 4
R3HDML	R3H domain containing like
C11orf65	chromosome 11 open reading frame 65
SLC16A13	solute carrier family 16 member 13
TMEM154	transmembrane protein 154
RPSAP52	ribosomal protein SA pseudogene 52
C10orf35	chromosome 10 open reading frame 35
STEAP1B	STEAP family member 1B
TCERG1L	transcription elongation regulator 1 like
C7orf71	chromosome 7 open reading frame 71
This locus is considered non-coding by other groups due to a lack of experimental support for the protein, but NCBI annotates the protein because it meets minimal RefSeq quality criteria for representation. The coding status remains uncertain. [29 Oct 2014]
RBM43	RNA binding motif protein 43
SERP2	stress associated endoplasmic reticulum protein family member 2
MIR518D	microRNA 518d
hsa-mir-518d
MIR550A1	microRNA 550a-1
hsa-mir-550-1	microRNA 550-1
MIR550A2	microRNA 550a-2
hsa-mir-550-2	microRNA 550-2
MIR571	microRNA 571
MIR593	microRNA 593
DCDC2C	doublecortin domain containing 2C
ZBED3-AS1	ZBED3 antisense RNA 1
CTC-564N23.3	ZBED3 antisense RNA 1 (non-protein coding)
MIR770	microRNA 770
MIR892B	microRNA 892b
hsa-mir-892b
MIR1303	microRNA 1303
PROX1-AS1	PROX1 antisense RNA 1
PROX1 antisense RNA 1 (non-protein coding)
ADAMTS9-AS2	ADAMTS9 antisense RNA 2
ADAMTS9 antisense RNA 2 (non-protein coding)	CTD-2230D16.1
C15orf38-AP3S2	C15orf38-AP3S2 readthrough
ALDH1L1-AS2	ALDH1L1 antisense RNA 2
ALDH1L1 antisense RNA 2 (non-protein coding)
CASC17	cancer susceptibility 17 (non-protein coding)
cancer susceptibility candidate 17 (non-protein coding)	long intergenic non-protein coding RNA 600
C5orf67	chromosome 5 open reading frame 67
IDDM2	insulin-dependent diabetes mellitus 2
IDDM5	insulin-dependent diabetes mellitus 5
IDDM10	insulin-dependent diabetes mellitus 10
IDDM12	insulin-dependent diabetes mellitus 12
CTBP1-AS2	CTBP1 antisense RNA 2 (head to head)
CTBP1 antisense RNA 1 (head to head)	CTBP1 antisense RNA 1 (non-protein coding)
LINC01104	long intergenic non-protein coding RNA 1104
MIR646HG	MIR646 host gene
MIR646 host gene (non-protein coding)
LINC01734	long intergenic non-protein coding RNA 1734
not in current annotation release
ISCA1P1	iron-sulfur cluster assembly 1 pseudogene 1
iron-sulfur cluster assembly 1 homolog pseudogene 1
not in current annotation release
TMEM75	transmembrane protein 75
RPSAP9	ribosomal protein SA pseudogene 9
laminin receptor 1 pseudogene 9
cysteine and histidine-rich domain (CHORD) containing 1 pseudogene
ANKRD34C-AS1	ANKRD34C antisense RNA 1
JAZF1-AS1	JAZF1 antisense RNA 1
JAZF1 antisense RNA 1 (non-protein coding)
MIR3681HG	MIR3681 host gene
PRC1-AS1	PRC1 antisense RNA 1
not in current annotation release
LINC01214	long intergenic non-protein coding RNA 1214
SMIM2-AS1	SMIM2 antisense RNA 1
C13orf44 antisense RNA 1 (non-protein coding)	SMIM2 antisense RNA 1 (non-protein coding)
LINC01339	long intergenic non-protein coding RNA 1339
LINC01584	long intergenic non-protein coding RNA 1584
TCONS_00024001
CTD-2337A12.1
ALDRL2	aldehyde reductase (aldose reductase)-like 2
BSCL	Berardinelli-Seip congenital lipodystrophy
Berardinelli-Seip congenital lipodsytrophy
ERVK2	endogenous retroviral sequence K(C4), 2
ERVK3	endogenous retroviral sequence K(C4), 3
